,moves,year_id,month,day,road_type_id,road_desc,source_type_id,source_type_name,fuel_type_id,fuel_type_desc,pollutant_id,pollutant_short_name,avg_speed_bin_id,avg_bin_speed,avg_speed_bin_desc,rate_per_distance,per_diff
93,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,15,70.0,67.5mph <= speed < 72.5mph,0.030817936999999997,8.24
94,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,16,75.0,72.5mph <= speed,0.032000044000000005,1.14
95,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,87,VOC,16,75.0,72.5mph <= speed,0.032364331999999996,1.14
96,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,1,2.5,speed < 2.5mph,0.01789069,-51.38
97,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,1,2.5,speed < 2.5mph,0.008697911000000001,-51.38
98,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,2,5.0,2.5mph <= speed < 7.5mph,0.010576339200000002,-50.44
99,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,2,5.0,2.5mph <= speed < 7.5mph,0.0052413984,-50.44
100,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,3,10.0,7.5mph <= speed < 12.5mph,0.0065179699,-49.56
101,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,3,10.0,7.5mph <= speed < 12.5mph,0.0032876827,-49.56
102,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,4,15.0,12.5mph <= speed < 17.5mph,0.0043885901,-49.87
103,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,4,15.0,12.5mph <= speed < 17.5mph,0.0022000204,-49.87
104,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,5,20.0,17.5mph <= speed <22.5mph,0.0035843875000000002,-50.15
105,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,5,20.0,17.5mph <= speed <22.5mph,0.001786922,-50.15
106,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,6,25.0,22.5mph <= speed < 27.5mph,0.0034794546999999997,-49.28
107,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,6,25.0,22.5mph <= speed < 27.5mph,0.0017649274,-49.28
108,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,7,30.0,27.5mph <= speed < 32.5mph,0.0034483880999999997,-48.56
109,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,100,PM10 Total Exh,7,30.0,27.5mph <= speed < 32.5mph,0.0017739087,-48.56
